iter	Passed	Remaining
882	259330	34362
883	259617	34067
884	259876	33769
885	260140	33471
886	260421	33176
887	260716	32883
888	261007	32589
889	261294	32294
890	261597	32002
891	261898	31709
892	262212	31418
893	262545	31129
894	262842	30836
895	263101	30538
896	263362	30241
897	263653	29947
898	263944	29653
899	264370	29374
900	264646	29078
901	264957	28786
902	265253	28493
903	265540	28198
904	265842	27906
905	266145	27613
906	266424	27318
907	266719	27024
908	266965	26725
909	267265	26432
910	267575	26140
911	267854	25845
912	268106	25547
913	268421	25256
914	268720	24963
915	269023	24670
916	269321	24376
917	269637	24085
918	269931	23791
919	270198	23495
920	270471	23200
921	270762	22906
922	271053	22612
923	271345	22318
924	271630	22024
925	271940	21731
926	272237	21438
927	272543	21145
928	272844	20852
929	273159	20560
930	273459	20267
931	273768	19974
932	274059	19680
933	274342	19386
934	274663	19094
935	274969	18801
936	275277	18508
937	275585	18215
938	275910	17923
939	276226	17631
940	276516	17337
941	276820	17044
942	277094	16749
943	277370	16454
944	277701	16162
945	278008	15869
946	278305	15575
947	278605	15282
948	278888	14987
949	279146	14691
950	279474	14399
951	279784	14106
952	280060	13812
953	280323	13516
954	280609	13222
955	280921	12929
956	281213	12635
957	281518	12342
958	281890	12051
959	282175	11757
960	282481	11463
961	282778	11170
962	283100	10877
963	283389	10583
964	283696	10289
965	283991	9995
966	284319	9702
967	284607	9408
968	284921	9115
969	285221	8821
970	285518	8527
971	285799	8232
972	286101	7939
973	286378	7644
974	286685	7350
975	286968	7056
976	287232	6761
977	287503	6467
978	287799	6173
979	288085	5879
980	288396	5585
981	288701	5291
982	289034	4998
983	289338	4704
984	289648	4410
985	289942	4116
986	290191	3822
987	290490	3528
988	290752	3233
989	291061	2940
990	291410	2646
991	291748	2352
992	292055	2058
993	292353	1764
994	292641	1470
995	292908	1176
996	293204	882
997	293530	588
998	293801	294
999	294095	0
