iter	TotalF1:average=Macro	MultiClass
644	0.5462195778	0.9194239046
645	0.546266702	0.9193925944
646	0.5463533068	0.9193525785
647	0.5464672368	0.9193100687
648	0.546550699	0.9192837664
649	0.5464434498	0.9192451019
650	0.5465826024	0.9192029571
651	0.5465962896	0.9191550881
652	0.5466909029	0.9191013982
653	0.5466223558	0.9190580315
654	0.5467012541	0.9190348019
655	0.5466762078	0.9189990833
656	0.5468502905	0.9189466129
657	0.5467779439	0.9189176736
658	0.5468019009	0.918883742
659	0.546666199	0.9188331002
660	0.5467278798	0.9187961825
661	0.5467134963	0.9187730227
662	0.5468484141	0.918732908
663	0.5468677347	0.9187115822
664	0.5468656568	0.9186782563
665	0.546858103	0.9186218383
666	0.5468919741	0.9185979031
667	0.5469012197	0.9185705014
668	0.5469143199	0.9185235453
669	0.5469233288	0.9184804829
670	0.5468992196	0.9184405923
671	0.5470694264	0.9183955362
672	0.5470690616	0.9183635867
673	0.5470790363	0.9183257369
674	0.54702319	0.9182861476
675	0.5470918221	0.9182401103
676	0.547085646	0.9181906897
677	0.5470454626	0.918160575
678	0.5471849428	0.9181285089
679	0.5472337795	0.9180979771
680	0.5472899014	0.9180517956
681	0.5473002418	0.918025897
682	0.5473932964	0.917985682
683	0.5472970602	0.9179490224
684	0.5473854797	0.9179124497
685	0.5473761274	0.9178736906
686	0.5474233269	0.9178435165
687	0.5474240342	0.9178099308
688	0.5474280117	0.9177696014
689	0.5474492555	0.9177492481
690	0.5473989496	0.9177046968
691	0.5475523839	0.9176653718
692	0.5475438662	0.9176217761
693	0.5476315244	0.9175774984
694	0.5476241862	0.9175361134
695	0.5476131464	0.9174830289
696	0.5475926682	0.9174556528
697	0.5476760764	0.917403127
698	0.5477416159	0.9173439791
699	0.5477753237	0.9173105891
700	0.5478315603	0.9172760951
701	0.5478371421	0.9172357301
702	0.5478780095	0.9172157893
703	0.5480155345	0.9171612739
704	0.547832743	0.9171161413
705	0.547930335	0.9170902345
706	0.5479041782	0.9170468452
707	0.5479346922	0.9170150631
708	0.5479051134	0.9169828902
709	0.5479511484	0.9169447609
710	0.5479903441	0.9169094647
711	0.5480453449	0.9168599162
712	0.5480846098	0.9168150432
713	0.5481701664	0.9167723897
714	0.5481825411	0.9167555961
715	0.5482950213	0.9167183461
716	0.5481805763	0.9166776844
717	0.548108254	0.91662874
718	0.548098328	0.9165996401
719	0.5481248569	0.9165532013
720	0.5481451825	0.9165143683
721	0.5481885798	0.9164905718
722	0.5481655948	0.9164705081
723	0.5482142455	0.9164483566
724	0.548276174	0.9164218696
725	0.5482638148	0.9163848164
726	0.5482992218	0.9163417198
727	0.5483542683	0.9163078611
728	0.5485133074	0.916279801
729	0.548548248	0.9162319406
730	0.5486605653	0.9161948537
731	0.5485502217	0.9161540199
732	0.5484891159	0.9161095718
733	0.548397418	0.9160795239
734	0.5485129619	0.9160395519
735	0.5484471994	0.9159852814
736	0.54854902	0.9159335008
737	0.5486739639	0.915892167
738	0.548726536	0.9158523688
739	0.5487953033	0.9158136732
740	0.5488696434	0.9157901782
741	0.5488323745	0.9157556162
742	0.5489249748	0.9157123707
743	0.5489686771	0.9156648779
744	0.5489587564	0.9156246482
745	0.5487673306	0.9155866646
746	0.5488233306	0.9155587597
747	0.548974104	0.915520161
748	0.5490241307	0.9154868659
749	0.5490840795	0.9154378286
750	0.5490369832	0.9153837057
751	0.5490248908	0.9153510722
752	0.5489444674	0.9153217423
753	0.5490015729	0.9152912005
754	0.5489192478	0.915246658
755	0.5490944294	0.915218328
756	0.549131032	0.9151763696
757	0.5490343688	0.9151272782
758	0.5490338517	0.9150773161
759	0.5490886995	0.9150597476
760	0.5492502898	0.9150323006
761	0.5492243083	0.9150022344
762	0.5492397033	0.9149573701
763	0.5492175529	0.9149354978
764	0.5491479787	0.914896598
765	0.5492113976	0.9148615947
766	0.5493347866	0.9148305224
767	0.5492900675	0.9147944168
768	0.549329964	0.9147599551
769	0.5492798279	0.9147219108
770	0.5493183699	0.9146915035
771	0.5493684155	0.9146523425
772	0.5494181037	0.9146164437
773	0.5493388492	0.9145722807
774	0.5493499191	0.9145427162
775	0.5493316609	0.9145107228
776	0.5493074654	0.9144558483
777	0.549319124	0.9144394931
778	0.5493226622	0.9144044506
779	0.5493348863	0.9143715055
780	0.5494367206	0.9143346388
781	0.5495462135	0.914292084
782	0.5495505324	0.9142670298
783	0.5496214746	0.9142219684
784	0.5496517	0.9141938136
785	0.5496014715	0.914175851
786	0.5495345887	0.9141201695
787	0.5497062848	0.9140649099
788	0.5496143042	0.9140342054
789	0.5496459207	0.9140064775
790	0.5496682813	0.9139638371
791	0.5496512336	0.9139318067
792	0.5496972006	0.913888754
793	0.5497394437	0.9138393313
794	0.5497918551	0.9138122587
795	0.5498053195	0.9137746716
796	0.5497992633	0.9137347679
797	0.5496848869	0.9137010704
798	0.5497398308	0.9136617077
799	0.5498727896	0.9136384091
800	0.5499851314	0.9136021947
801	0.5500097498	0.9135670387
802	0.5500251485	0.9135409839
803	0.5500710198	0.9134896247
804	0.55003049	0.9134615745
